tanggal,waktu,id,produk
06/13/2023 13:05:00,01:05:00 PM,125,Segitiga Biru Kiloan 1kg
06/13/2023 13:06:00,01:06:00 PM,126,Cup 10 Pendek
06/13/2023 15:00:00,03:00:00 PM,127,Kresek Tomat 24
06/13/2023 15:00:00,03:00:00 PM,127,Kresek Tomat 15
06/13/2023 15:00:00,03:00:00 PM,127,Karet Merah
06/13/2023 18:01:00,06:01:00 PM,128,Wayang 12x25x05
06/14/2023 06:39:00,06:39:00 AM,129,Plastik Tomat 14x35
06/14/2023 06:39:00,06:39:00 AM,129,Thinwall 500ml
06/14/2023 06:59:00,06:59:00 AM,130,Plastik OOP Uk 8x12
06/14/2023 13:49:00,01:49:00 PM,131,Tepung Beras Rosebrand
06/14/2023 13:49:00,01:49:00 PM,131,Tepung Beras Rosebrand
06/14/2023 13:49:00,01:49:00 PM,131,Nutrijel Plain
06/14/2023 13:49:00,01:49:00 PM,131,Cup 14 Oz
06/14/2023 13:49:00,01:49:00 PM,131,Wayang 17x30x05
06/14/2023 13:49:00,01:49:00 PM,131,Wayang 14x25x05
06/14/2023 14:27:00,02:27:00 PM,132,Claris Merah
06/14/2023 15:57:00,03:57:00 PM,133,Palmia 200gr
06/14/2023 15:57:00,03:57:00 PM,133,Terigu Biasa
06/14/2023 15:57:00,03:57:00 PM,133,Kertas Nasi Gulung
06/14/2023 17:29:00,05:29:00 PM,134,Sterofoam Mangkok Besar
06/14/2023 17:29:00,05:29:00 PM,134,Sterofoam Seblak
06/14/2023 17:29:00,05:29:00 PM,134,Sedotan Kecil
06/14/2023 17:29:00,05:29:00 PM,134,Bader 12x25
06/14/2023 17:29:00,05:29:00 PM,134,Bader 10x20
06/14/2023 17:37:00,05:37:00 PM,135,Wayang 11x25x05
06/14/2023 17:37:00,05:37:00 PM,135,Wayang 11x25x05
06/14/2023 17:39:00,05:39:00 PM,136,Selai Coklat Biasa 250gr
06/14/2023 17:39:00,05:39:00 PM,136,Tepung Roti 250gr
